user_id,user,text,created_at,retweet_count,favorite_count,mentions,cleaned_text
uid_75,warga_indonesia_185,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @warga_indonesia_61 @warga_indonesia_53 #75,2024-11-30,551,1586,"['warga_indonesia_61', 'warga_indonesia_53']",Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_76,warga_indonesia_76,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_14 @warga_indonesia_56 #76,2024-11-27,748,1213,"['warga_indonesia_14', 'warga_indonesia_56']",Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_77,warga_indonesia_41,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_169 @warga_indonesia_111 #77,2024-11-08,850,1914,"['warga_indonesia_169', 'warga_indonesia_111']",UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_78,warga_indonesia_117,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @warga_indonesia_133 #78,2024-11-29,461,499,['warga_indonesia_133'],Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_79,warga_indonesia_186,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @warga_indonesia_32 @warga_indonesia_99 #79,2024-11-22,388,688,"['warga_indonesia_32', 'warga_indonesia_99']",Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_80,warga_indonesia_4,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @warga_indonesia_170 #80,2024-11-28,332,372,['warga_indonesia_170'],Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_81,warga_indonesia_118,Transparansi anggaran MBG adalah harga mati bagi publik. @warga_indonesia_77 @warga_indonesia_145 #81,2024-11-26,264,697,"['warga_indonesia_77', 'warga_indonesia_145']",Transparansi anggaran MBG adalah harga mati bagi publik.
uid_82,warga_indonesia_169,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @warga_indonesia_10 @warga_indonesia_17 #82,2024-11-23,901,565,"['warga_indonesia_10', 'warga_indonesia_17']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_83,warga_indonesia_95,Makan siang gratis mulai didistribusikan ke daerah 3T. @warga_indonesia_152 #83,2024-11-07,87,494,['warga_indonesia_152'],Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_84,warga_indonesia_37,Bagaimana nasib kantin sekolah setelah ada program MBG? @warga_indonesia_135 @warga_indonesia_6 #84,2024-11-25,246,1414,"['warga_indonesia_135', 'warga_indonesia_6']",Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_85,warga_indonesia_90,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_179 @warga_indonesia_191 #85,2024-11-16,458,1623,"['warga_indonesia_179', 'warga_indonesia_191']",Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_86,warga_indonesia_104,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @tokoh_oposisi #86,2024-11-10,226,828,['tokoh_oposisi'],Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_87,warga_indonesia_30,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @warga_indonesia_117 #87,2024-11-22,595,755,['warga_indonesia_117'],Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_88,warga_indonesia_151,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @warga_indonesia_189 @warga_indonesia_139 #88,2024-11-12,435,1527,"['warga_indonesia_189', 'warga_indonesia_139']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_89,warga_indonesia_58,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @warga_indonesia_145 @warga_indonesia_178 #89,2024-11-15,277,627,"['warga_indonesia_145', 'warga_indonesia_178']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_90,warga_indonesia_145,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @warga_indonesia_157 @asosiasi_vendor #90,2024-11-24,197,646,"['warga_indonesia_157', 'asosiasi_vendor']",Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_91,warga_indonesia_75,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_79 #91,2024-11-18,973,1560,['warga_indonesia_79'],Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_92,warga_indonesia_8,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_123 #92,2024-11-07,756,991,['warga_indonesia_123'],UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_93,warga_indonesia_28,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @warga_indonesia_129 @warga_indonesia_130 #93,2024-11-25,537,1222,"['warga_indonesia_129', 'warga_indonesia_130']",Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_94,warga_indonesia_136,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @Yayasan_Gizi @warga_indonesia_105 #94,2024-11-07,303,465,"['Yayasan_Gizi', 'warga_indonesia_105']",Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_95,warga_indonesia_55,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @warga_indonesia_18 @warga_indonesia_41 #95,2024-11-01,725,1093,"['warga_indonesia_18', 'warga_indonesia_41']",Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_96,warga_indonesia_195,Transparansi anggaran MBG adalah harga mati bagi publik. @warga_indonesia_39 #96,2024-11-02,997,111,['warga_indonesia_39'],Transparansi anggaran MBG adalah harga mati bagi publik.
uid_97,warga_indonesia_91,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @warga_indonesia_97 @koprasi_susu #97,2024-11-21,889,1541,"['warga_indonesia_97', 'koprasi_susu']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_98,warga_indonesia_89,Makan siang gratis mulai didistribusikan ke daerah 3T. @IndoWitch @warga_indonesia_165 #98,2024-11-01,587,582,"['IndoWitch', 'warga_indonesia_165']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_99,warga_indonesia_116,Bagaimana nasib kantin sekolah setelah ada program MBG? @warga_indonesia_7 @warga_indonesia_140 #99,2024-11-11,188,1977,"['warga_indonesia_7', 'warga_indonesia_140']",Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_100,warga_indonesia_167,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_67 #100,2024-11-28,489,233,['warga_indonesia_67'],Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_101,warga_indonesia_57,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @warga_indonesia_70 #101,2024-11-16,75,1181,['warga_indonesia_70'],Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_102,warga_indonesia_70,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @warga_indonesia_38 #102,2024-11-05,830,1152,['warga_indonesia_38'],Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_103,warga_indonesia_166,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @Aliansi_Rakyat @warga_indonesia_63 #103,2024-11-04,571,1565,"['Aliansi_Rakyat', 'warga_indonesia_63']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_104,warga_indonesia_96,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @warga_indonesia_110 @warga_indonesia_17 #104,2024-11-26,633,462,"['warga_indonesia_110', 'warga_indonesia_17']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_105,warga_indonesia_11,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @warga_indonesia_62 @warga_indonesia_73 #105,2024-11-15,304,1761,"['warga_indonesia_62', 'warga_indonesia_73']",Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_106,warga_indonesia_15,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_117 @warga_indonesia_32 #106,2024-11-20,61,1248,"['warga_indonesia_117', 'warga_indonesia_32']",Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_107,warga_indonesia_16,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_29 #107,2024-11-07,640,432,['warga_indonesia_29'],UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
